USERID,"ID: Newspaper reading, total time on average weekday","Newspaper reading, total time on average weekday",ID: Personal use of internet/e-mail/www,Personal use of internet/e-mail/www,"ID: How often socially meet with friends, relatives or colleagues","How often socially meet with friends, relatives or colleagues",ID: Gender,Gender,"Age of respondent, calculated",ID: Highest level of education,Highest level of education,ID: Employment relation,Employment relation,ID: Occupation,Occupation,ID: Important to try new and different things in life,Important to try new and different things in life,ID: Important to do what is told and follow rules,Important to do what is told and follow rules,ID: Important to understand different people,Important to understand different people,ID:Important to make own decisions and be free,Important to make own decisions and be free,ID: Important to be successful and that people recognize achievements,Important to be successful and that people recognize achievements,ID: Important to seek adventures and have an exciting life,Important to seek adventures and have an exciting life,ID: Important to behave properly,Important to behave properly,ID: Important to get respect from others,Important to get respect from others,ID: Important to care for nature and environment,Important to care for nature and environment,ID: Important to follow traditions and customs,Important to follow traditions and customs,ID: Hard to be hopeful about the future of the world,Hard to be hopeful about the future of the world,ID: Feel close to the people in local area,Feel close to the people in local area
2-933,2,"0,5 hour to 1 hour",7,Every day,3,Once a month,1,Male,42,5,Tertiary education completed (ISCED 5-6),1,Employee,1223,Managers in construction,2,Like me,5,Not like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,5,Not like me,5,Not like me,2,Like me,4,A little like me,,,,
2-934,1,"Less than 0,5 hour",1,Never use,7,Every day,2,Female,61,3,Upper secondary education completed (ISCED 3),1,Employee,3415,Technical and commercial sales rep,1,Very much like me,5,Not like me,3,Somewhat like me,2,Like me,4,A little like me,6,Not like me at all,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,,,,
2-935,1,"Less than 0,5 hour",7,Every day,7,Every day,1,Male,22,3,Upper secondary education completed (ISCED 3),1,Employee,8324,Heavy truck and lorry drivers,1,Very much like me,5,Not like me,2,Like me,1,Very much like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,5,Not like me,,,,
2-936,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,4,Several times a month,2,Female,49,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,4,A little like me,2,Like me,1,Very much like me,3,Somewhat like me,4,A little like me,6,Not like me at all,5,Not like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,,,,
2-937,0,No time at all,6,Several times a week,5,Once a week,1,Male,53,3,Upper secondary education completed (ISCED 3),2,Self-employed,3114,"Electronics,telecom engineering technicians",3,Somewhat like me,1,Very much like me,1,Very much like me,3,Somewhat like me,6,Not like me at all,6,Not like me at all,1,Very much like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,,,,
2-938,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,5,Once a week,2,Female,74,3,Upper secondary education completed (ISCED 3),1,Employee,2411,Accountants,4,A little like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,5,Not like me,5,Not like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-939,1,"Less than 0,5 hour",1,Never use,4,Several times a month,1,Male,71,5,Tertiary education completed (ISCED 5-6),1,Employee,1210,Directors and chief executives,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,6,Not like me at all,,,,
2-940,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,1,Male,23,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,9,No answer,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,4,A little like me,,,,
2-941,0,No time at all,1,Never use,6,Several times a week,1,Male,84,3,Upper secondary education completed (ISCED 3),8,Don't know,3115,Mechanical engineering technicians,9,No answer,9,No answer,9,No answer,1,Very much like me,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,,,,
2-942,0,No time at all,1,Never use,3,Once a month,2,Female,44,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-943,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,1,Male,44,1,Less than lower secondary education (ISCED 0-1),1,Employee,7132,Floor layers and tile setters,2,Like me,2,Like me,4,A little like me,4,A little like me,6,Not like me at all,6,Not like me at all,1,Very much like me,6,Not like me at all,2,Like me,5,Not like me,,,,
2-944,1,"Less than 0,5 hour",1,Never use,5,Once a week,1,Male,45,2,Lower secondary education completed (ISCED 2),1,Employee,9160,Garbage collectors and related labourers,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,6,Not like me at all,,,,
2-945,1,"Less than 0,5 hour",1,Never use,4,Several times a month,1,Male,44,2,Lower secondary education completed (ISCED 2),1,Employee,8324,Heavy truck and lorry drivers,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-946,0,No time at all,1,Never use,4,Several times a month,1,Male,43,3,Upper secondary education completed (ISCED 3),1,Employee,8333,"Crane, hoist and related plant operators",2,Like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-947,2,"0,5 hour to 1 hour",1,Never use,5,Once a week,1,Male,77,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,5,Not like me,5,Not like me,5,Not like me,5,Not like me,5,Not like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,,,,
2-948,3,"More than 1 hour, up to 1,5 hours",1,Never use,4,Several times a month,2,Female,63,5,Tertiary education completed (ISCED 5-6),1,Employee,4221,Travel agency and related clerks,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-949,0,No time at all,1,Never use,3,Once a month,2,Female,72,2,Lower secondary education completed (ISCED 2),1,Employee,5122,Cooks,2,Like me,4,A little like me,3,Somewhat like me,5,Not like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-950,0,No time at all,1,Never use,5,Once a week,1,Male,50,2,Lower secondary education completed (ISCED 2),1,Employee,4131,Stock clerks,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,,,,
2-951,0,No time at all,6,Several times a week,6,Several times a week,2,Female,20,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,2,Like me,1,Very much like me,1,Very much like me,2,Like me,4,A little like me,3,Somewhat like me,1,Very much like me,5,Not like me,3,Somewhat like me,2,Like me,,,,
2-952,4,"More than 1,5 hours, up to 2 hours",4,Several times a month,4,Several times a month,2,Female,67,5,Tertiary education completed (ISCED 5-6),1,Employee,2224,Pharmacists,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-953,4,"More than 1,5 hours, up to 2 hours",1,Never use,2,Less than once a month,1,Male,66,3,Upper secondary education completed (ISCED 3),1,Employee,4133,Transport clerks,5,Not like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-954,1,"Less than 0,5 hour",7,Every day,5,Once a week,2,Female,41,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,4,A little like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,6,Not like me at all,3,Somewhat like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,,,,
2-955,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,1,Male,60,5,Tertiary education completed (ISCED 5-6),3,Working for own family business,2221,Medical doctors,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-956,4,"More than 1,5 hours, up to 2 hours",4,Several times a month,5,Once a week,2,Female,54,5,Tertiary education completed (ISCED 5-6),1,Employee,5111,Travel attendants and travel stewards,5,Not like me,1,Very much like me,1,Very much like me,5,Not like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,4,A little like me,,,,
2-957,2,"0,5 hour to 1 hour",5,Once a week,5,Once a week,9,No answer,40,3,Upper secondary education completed (ISCED 3),1,Employee,3116,Chemical engineering technicians,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,,,,
2-958,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,15,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,,,,
2-959,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,2,Female,62,3,Upper secondary education completed (ISCED 3),1,Employee,4115,Secretaries,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-960,99,No answer,99,No answer,99,No answer,2,Female,31,5,Tertiary education completed (ISCED 5-6),3,Working for own family business,2452,"Sculptors, painters and related artists",2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,4,A little like me,2,Like me,4,A little like me,,,,
2-961,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,26,5,Tertiary education completed (ISCED 5-6),6,Not applicable,66666,Not applicable,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,,,,
2-962,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,16,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-963,1,"Less than 0,5 hour",1,Never use,4,Several times a month,2,Female,73,5,Tertiary education completed (ISCED 5-6),1,Employee,2446,Social work professionals,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,2,Like me,2,Like me,,,,
2-964,2,"0,5 hour to 1 hour",0,No access at home or work,5,Once a week,1,Male,78,5,Tertiary education completed (ISCED 5-6),1,Employee,4122,Statistical and finance clerks,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-965,1,"Less than 0,5 hour",7,Every day,6,Several times a week,2,Female,24,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,2,Like me,5,Not like me,2,Like me,2,Like me,4,A little like me,4,A little like me,5,Not like me,4,A little like me,4,A little like me,5,Not like me,,,,
2-966,1,"Less than 0,5 hour",4,Several times a month,2,Less than once a month,2,Female,45,3,Upper secondary education completed (ISCED 3),1,Employee,3112,Civil engineering technicians,3,Somewhat like me,6,Not like me at all,1,Very much like me,2,Like me,4,A little like me,5,Not like me,3,Somewhat like me,5,Not like me,2,Like me,6,Not like me at all,,,,
2-967,1,"Less than 0,5 hour",7,Every day,3,Once a month,1,Male,24,3,Upper secondary education completed (ISCED 3),1,Employee,4133,Transport clerks,2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,,,,
2-968,4,"More than 1,5 hours, up to 2 hours",1,Never use,3,Once a month,1,Male,56,3,Upper secondary education completed (ISCED 3),1,Employee,4222,Receptionists and information clerks,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,2,Like me,3,Somewhat like me,9,No answer,3,Somewhat like me,,,,
2-969,2,"0,5 hour to 1 hour",6,Several times a week,4,Several times a month,2,Female,52,3,Upper secondary education completed (ISCED 3),1,Employee,4212,Tellers and other counter clerks,1,Very much like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,,,,
2-970,1,"Less than 0,5 hour",4,Several times a month,7,Every day,9,No answer,28,5,Tertiary education completed (ISCED 5-6),1,Employee,2331,Primary education teaching professionals,3,Somewhat like me,4,A little like me,2,Like me,1,Very much like me,4,A little like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,5,Not like me,,,,
2-971,1,"Less than 0,5 hour",4,Several times a month,3,Once a month,2,Female,34,5,Tertiary education completed (ISCED 5-6),1,Employee,2221,Medical doctors,3,Somewhat like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-972,2,"0,5 hour to 1 hour",4,Several times a month,5,Once a week,2,Female,41,3,Upper secondary education completed (ISCED 3),3,Working for own family business,99999,No answer,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,,,,
2-973,1,"Less than 0,5 hour",5,Once a week,3,Once a month,2,Female,39,5,Tertiary education completed (ISCED 5-6),2,Self-employed,2141,"Architects, town and traffic planners",1,Very much like me,6,Not like me at all,2,Like me,1,Very much like me,4,A little like me,1,Very much like me,5,Not like me,6,Not like me at all,2,Like me,3,Somewhat like me,,,,
2-974,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,2,Female,69,5,Tertiary education completed (ISCED 5-6),1,Employee,4121,Accounting and bookkeeping clerks,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,,,,
2-975,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,1,Male,72,3,Upper secondary education completed (ISCED 3),1,Employee,7415,Food and beverage tasters and graders,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-976,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,2,Female,58,3,Upper secondary education completed (ISCED 3),1,Employee,3433,Bookkeepers,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,6,Not like me at all,6,Not like me at all,2,Like me,5,Not like me,1,Very much like me,5,Not like me,,,,
2-977,2,"0,5 hour to 1 hour",7,Every day,7,Every day,1,Male,21,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,2,Like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,,,,
2-978,2,"0,5 hour to 1 hour",4,Several times a month,4,Several times a month,2,Female,49,2,Lower secondary education completed (ISCED 2),1,Employee,99999,No answer,5,Not like me,5,Not like me,2,Like me,2,Like me,4,A little like me,5,Not like me,1,Very much like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-979,1,"Less than 0,5 hour",1,Never use,5,Once a week,2,Female,42,3,Upper secondary education completed (ISCED 3),1,Employee,3211,Life science technicians,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,5,Not like me,4,A little like me,4,A little like me,2,Like me,2,Like me,,,,
2-980,0,No time at all,1,Never use,3,Once a month,2,Female,58,3,Upper secondary education completed (ISCED 3),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",3,Somewhat like me,2,Like me,3,Somewhat like me,1,Very much like me,4,A little like me,6,Not like me at all,3,Somewhat like me,3,Somewhat like me,1,Very much like me,4,A little like me,,,,
2-981,1,"Less than 0,5 hour",6,Several times a week,4,Several times a month,1,Male,47,3,Upper secondary education completed (ISCED 3),1,Employee,3112,Civil engineering technicians,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-982,0,No time at all,1,Never use,3,Once a month,2,Female,38,3,Upper secondary education completed (ISCED 3),1,Employee,7136,Plumbers and pipe fitters,6,Not like me at all,6,Not like me at all,3,Somewhat like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,6,Not like me at all,6,Not like me at all,3,Somewhat like me,6,Not like me at all,,,,
2-983,1,"Less than 0,5 hour",1,Never use,7,Every day,2,Female,51,2,Lower secondary education completed (ISCED 2),1,Employee,5122,Cooks,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,6,Not like me at all,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,,,,
2-984,1,"Less than 0,5 hour",7,Every day,4,Several times a month,1,Male,40,3,Upper secondary education completed (ISCED 3),1,Employee,2130,Computing professionals,1,Very much like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,,,,
2-985,2,"0,5 hour to 1 hour",2,Less than once a month,4,Several times a month,2,Female,54,3,Upper secondary education completed (ISCED 3),1,Employee,3415,Technical and commercial sales rep,4,A little like me,6,Not like me at all,2,Like me,4,A little like me,4,A little like me,5,Not like me,2,Like me,5,Not like me,2,Like me,5,Not like me,,,,
2-986,2,"0,5 hour to 1 hour",1,Never use,5,Once a week,2,Female,51,5,Tertiary education completed (ISCED 5-6),1,Employee,2411,Accountants,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,2,Like me,1,Very much like me,3,Somewhat like me,,,,
2-987,7,More than 3 hours,1,Never use,6,Several times a week,1,Male,54,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,5,Not like me,,,,
2-988,2,"0,5 hour to 1 hour",7,Every day,6,Several times a week,1,Male,28,3,Upper secondary education completed (ISCED 3),2,Self-employed,7222,Tool-makers and related workers,1,Very much like me,2,Like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,4,A little like me,2,Like me,1,Very much like me,2,Like me,,,,
2-989,2,"0,5 hour to 1 hour",0,No access at home or work,4,Several times a month,1,Male,65,3,Upper secondary education completed (ISCED 3),1,Employee,7141,Painters and related workers,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,3,Somewhat like me,,,,
2-990,2,"0,5 hour to 1 hour",7,Every day,6,Several times a week,1,Male,29,5,Tertiary education completed (ISCED 5-6),1,Employee,2310,"Coll,univ, higher educ teaching prof",3,Somewhat like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,,,,
2-991,0,No time at all,5,Once a week,3,Once a month,2,Female,35,3,Upper secondary education completed (ISCED 3),1,Employee,4115,Secretaries,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,,,,
2-992,1,"Less than 0,5 hour",0,No access at home or work,7,Every day,2,Female,69,2,Lower secondary education completed (ISCED 2),1,Employee,7241,"Electric mechanic, fitters and servicers",3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,,,,
2-993,2,"0,5 hour to 1 hour",0,No access at home or work,6,Several times a week,2,Female,56,3,Upper secondary education completed (ISCED 3),1,Employee,3433,Bookkeepers,2,Like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-994,1,"Less than 0,5 hour",7,Every day,7,Every day,2,Female,22,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,3,Somewhat like me,4,A little like me,1,Very much like me,2,Like me,3,Somewhat like me,1,Very much like me,4,A little like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,,,,
2-995,2,"0,5 hour to 1 hour",6,Several times a week,4,Several times a month,2,Female,55,3,Upper secondary education completed (ISCED 3),1,Employee,3433,Bookkeepers,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,5,Not like me,2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,,,,
2-996,4,"More than 1,5 hours, up to 2 hours",1,Never use,5,Once a week,2,Female,67,5,Tertiary education completed (ISCED 5-6),1,Employee,2432,"Librarians,related information prof",2,Like me,2,Like me,2,Like me,2,Like me,1,Very much like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-997,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,2,Female,26,5,Tertiary education completed (ISCED 5-6),1,Employee,99999,No answer,2,Like me,5,Not like me,2,Like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,5,Not like me,2,Like me,5,Not like me,,,,
2-998,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,22,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,2,Like me,4,A little like me,4,A little like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,5,Not like me,,,,
2-999,1,"Less than 0,5 hour",7,Every day,6,Several times a week,2,Female,16,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,1,Very much like me,6,Not like me at all,5,Not like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Like me,2,Like me,,,,
2-1000,1,"Less than 0,5 hour",0,No access at home or work,7,Every day,1,Male,24,3,Upper secondary education completed (ISCED 3),2,Self-employed,6121,Dairy and livestock producers,2,Like me,6,Not like me at all,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-1001,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,3,Once a month,2,Female,67,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,4,A little like me,1,Very much like me,2,Like me,,,,
2-1002,0,No time at all,1,Never use,3,Once a month,2,Female,76,1,Less than lower secondary education (ISCED 0-1),9,No answer,99999,No answer,6,Not like me at all,2,Like me,4,A little like me,5,Not like me,5,Not like me,6,Not like me at all,2,Like me,4,A little like me,3,Somewhat like me,1,Very much like me,,,,
2-1003,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,2,Female,49,3,Upper secondary education completed (ISCED 3),1,Employee,5122,Cooks,2,Like me,6,Not like me at all,2,Like me,2,Like me,3,Somewhat like me,6,Not like me at all,2,Like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,,,,
2-1004,4,"More than 1,5 hours, up to 2 hours",1,Never use,6,Several times a week,2,Female,61,3,Upper secondary education completed (ISCED 3),9,No answer,4122,Statistical and finance clerks,3,Somewhat like me,3,Somewhat like me,1,Very much like me,6,Not like me at all,2,Like me,6,Not like me at all,1,Very much like me,2,Like me,1,Very much like me,2,Like me,,,,
2-1005,2,"0,5 hour to 1 hour",1,Never use,6,Several times a week,1,Male,76,2,Lower secondary education completed (ISCED 2),1,Employee,8162,Steam-engine and boiler operators,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-1006,4,"More than 1,5 hours, up to 2 hours",1,Never use,4,Several times a month,1,Male,64,5,Tertiary education completed (ISCED 5-6),1,Employee,1232,Personnel and industrial relations managers,6,Not like me at all,5,Not like me,1,Very much like me,1,Very much like me,4,A little like me,6,Not like me at all,2,Like me,5,Not like me,1,Very much like me,5,Not like me,,,,
2-1007,3,"More than 1 hour, up to 1,5 hours",6,Several times a week,4,Several times a month,1,Male,56,3,Upper secondary education completed (ISCED 3),1,Employee,3113,Electrical engineering technicians,5,Not like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,4,A little like me,1,Very much like me,2,Like me,,,,
2-1008,2,"0,5 hour to 1 hour",99,No answer,2,Less than once a month,1,Male,61,3,Upper secondary education completed (ISCED 3),1,Employee,3115,Mechanical engineering technicians,3,Somewhat like me,5,Not like me,4,A little like me,3,Somewhat like me,5,Not like me,6,Not like me at all,4,A little like me,4,A little like me,2,Like me,3,Somewhat like me,,,,
2-1009,1,"Less than 0,5 hour",7,Every day,4,Several times a month,2,Female,23,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,4,A little like me,2,Like me,2,Like me,,,,
2-1010,7,More than 3 hours,1,Never use,5,Once a week,2,Female,45,5,Tertiary education completed (ISCED 5-6),1,Employee,2419,Business prof not elsewhere classified,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,,,,
2-1011,0,No time at all,7,Every day,7,Every day,1,Male,18,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,3,Somewhat like me,4,A little like me,3,Somewhat like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,4,A little like me,,,,
2-1012,1,"Less than 0,5 hour",5,Once a week,2,Less than once a month,2,Female,43,3,Upper secondary education completed (ISCED 3),1,Employee,4115,Secretaries,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,,,,
2-1013,3,"More than 1 hour, up to 1,5 hours",1,Never use,6,Several times a week,1,Male,50,5,Tertiary education completed (ISCED 5-6),6,Not applicable,66666,Not applicable,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-1014,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,18,3,Upper secondary education completed (ISCED 3),6,Not applicable,66666,Not applicable,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-1015,1,"Less than 0,5 hour",7,Every day,5,Once a week,2,Female,44,3,Upper secondary education completed (ISCED 3),1,Employee,7412,"Bakers,pastry-cooks,confectionery maker",9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,9,No answer,,,,
2-1016,1,"Less than 0,5 hour",1,Never use,4,Several times a month,2,Female,82,2,Lower secondary education completed (ISCED 2),1,Employee,8262,Weaving- and knitting-machine operators,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-1017,2,"0,5 hour to 1 hour",5,Once a week,5,Once a week,2,Female,44,3,Upper secondary education completed (ISCED 3),1,Employee,2411,Accountants,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
